year,lon,lat,edge_density,building_coverage,texture_entropy,ssim,resnet_cosine_dist,building_count,building_area_mean,amenity_count,shop_count,leisure_count,poi_diversity,road_length_total,d_edge_density,d_building_coverage,d_texture_entropy,d_building_count,d_building_area_mean,d_amenity_count,d_shop_count,d_leisure_count,d_poi_diversity,d_road_length_total
2023,120.615,24.105,0.1185983287545787,0.2269511217948717,3.109772512670164,0.0106173921532732,0.7977306842803955,32,2101.541165687575,0,0,0,0.0,0.0,0.1185983287545787,0.2269511217948717,3.109772512670164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,120.615,24.105,0.1138060897435897,0.2004733287545787,3.025224875421704,0.5208206302414456,0.1313527822494506,30,2134.5380610372463,0,0,0,0.0,0.0,-0.004792239010988991,-0.02647779304029299,-0.08454763724845993,-2.0,32.99689534967138,0.0,0.0,0.0,0.0,0.0
2025,120.615,24.105,0.1298901098901098,0.2087356913919414,3.062983933161592,0.6848442721236994,0.0524172186851501,32,1676.9512711797493,0,0,0,0.0,0.0,0.016084020146520092,0.008262362637362686,0.03775905773988786,2.0,-457.586789857497,0.0,0.0,0.0,0.0,0.0
2018,120.615,24.115,0.0,0.0,0.0,,,6,14207.044053532996,0,0,0,0.0,0.0,,,,,,,,,,
2019,120.615,24.115,0.0693257783882783,0.1787419871794871,2.848331755456918,0.0051855718485608,0.7746236324310303,8,13080.010496207376,2,0,0,-0.0,0.0,0.0693257783882783,0.1787419871794871,2.848331755456918,2.0,-1127.0335573256198,2.0,0.0,0.0,-0.0,0.0
2020,120.615,24.115,0.0807091346153846,0.2247298534798534,2.95092782795505,0.7817956021422792,0.0546912550926208,8,13155.633193500486,3,0,0,-0.0,0.0,0.011383356227106303,0.045987866300366276,0.10259607249813207,0.0,75.62269729310901,1.0,0.0,0.0,0.0,0.0
2021,120.615,24.115,0.1086126373626373,0.2463810668498168,3.078520717249305,0.8782495699061067,0.0439575910568237,13,6737.93976461605,5,0,0,-0.0,0.0,0.027903502747252687,0.021651213369963423,0.12759288929425505,5.0,-6417.693428884436,2.0,0.0,0.0,0.0,0.0
2022,120.615,24.115,0.0,0.0,0.0,0.0038883094024198,0.7829514741897583,12,6268.12465376006,5,0,0,-0.0,0.0,-0.1086126373626373,-0.2463810668498168,-3.078520717249305,-1.0,-469.8151108559896,0.0,0.0,0.0,0.0,0.0
2023,120.615,24.115,0.1164903846153846,0.2385021749084249,3.114736131558435,0.0105492072703923,0.8080699443817139,13,7916.22773683865,5,0,0,-0.0,0.0,0.1164903846153846,0.2385021749084249,3.114736131558435,1.0,1648.1030830785903,0.0,0.0,0.0,0.0,0.0
2024,120.615,24.115,0.1107291666666666,0.1998677884615384,3.024925705752396,0.5491768725968822,0.1361393332481384,13,7916.22773683865,5,0,0,-0.0,0.0,-0.005761217948718006,-0.03863438644688649,-0.08981042580603882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,120.615,24.115,0.129740728021978,0.2092073031135531,3.073826117336656,0.6946706983623533,0.0794488191604614,24,3688.749091581741,5,0,0,-0.0,0.0,0.0190115613553114,0.009339514652014685,0.04890041158425973,11.0,-4227.47864525691,0.0,0.0,0.0,0.0,0.0
2018,120.615,24.125,0.0,0.0,0.0,,,9,473.9863445820931,0,0,0,0.0,0.0,,,,,,,,,,
2019,120.615,24.125,0.0619539835164835,0.1773168498168498,2.832655504656417,0.0052811824592021,0.7819843888282776,0,0.0,0,0,0,0.0,0.0,0.0619539835164835,0.1773168498168498,2.832655504656417,-9.0,-473.9863445820931,0.0,0.0,0.0,0.0,0.0
2020,120.615,24.125,0.083058608058608,0.2242313415750916,2.9547429727133565,0.7821922723246638,0.0522330999374389,0,0.0,0,0,0,0.0,0.0,0.0211046245421245,0.04691449175824178,0.12208746805693949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,120.615,24.125,0.1052586996336996,0.2362580128205128,3.062805435952768,0.8862966375187732,0.0486151576042175,0,0.0,0,0,0,0.0,0.0,0.022200091575091604,0.012026671245421228,0.1080624632394116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,120.615,24.125,0.0,0.0,0.0,0.0039340239032916,0.7629017233848572,1,25.138476197696505,0,0,0,0.0,0.0,-0.1052586996336996,-0.2362580128205128,-3.062805435952768,1.0,25.138476197696505,0.0,0.0,0.0,0.0,0.0
2023,120.615,24.125,0.1164829441391941,0.2152352335164835,3.10699481899007,0.0102971778506704,0.7849060297012329,1,25.138476197696505,0,0,0,0.0,0.0,0.1164829441391941,0.2152352335164835,3.10699481899007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,120.615,24.125,0.1070301053113553,0.1888158195970695,3.010677872238989,0.5786604805005907,0.1265641450881958,1,25.138476197696505,0,0,0,0.0,0.0,-0.009452838827838803,-0.026419413919413992,-0.09631694675108093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
